GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pp4-8,com.pplab4_8.mobileCommunication.service,MobileNetworkService,0,193,1,7,0,39,1,15,0,12
pp4-8,com.pplab4_8.mobileCommunication.menu,MainMenu,9,141,1,9,3,35,3,8,2,4
pp4-8,com.pplab4_8.mobileCommunication.menu,LoginMenu,74,383,8,26,15,87,8,17,0,8
pp4-8,com.pplab4_8.mobileCommunication.users,MobileSubscriber,25,234,5,13,5,59,6,18,2,13
pp4-8,com.pplab4_8.mobileCommunication.users,MobileNetwork,10,154,2,6,1,35,2,12,0,10
pp4-8,com.pplab4_8.mobileCommunication.tariffs,TariffPrepaid,5,209,1,1,1,42,1,14,0,14
pp4-8,com.pplab4_8.mobileCommunication.tariffs,TariffContract,0,65,0,0,0,13,0,5,0,5
pp4-8,com.pplab4_8.mobileCommunication,Main,20,171,0,0,7,30,2,2,2,2
pp4-8,com.pplab4_8.mobileCommunication.commands,ViewTariffs,0,93,0,5,0,31,0,7,0,4
pp4-8,com.pplab4_8.mobileCommunication.commands,AddTariff,33,184,6,12,14,50,6,7,0,4
pp4-8,com.pplab4_8.mobileCommunication.commands,SearchTariffsByRange,0,110,0,4,0,34,0,6,0,4
pp4-8,com.pplab4_8.mobileCommunication.commands,Command,0,14,0,0,0,4,0,2,0,2
pp4-8,com.pplab4_8.mobileCommunication.commands,RemoveTariff,12,80,1,5,5,26,1,6,0,4
pp4-8,com.pplab4_8.mobileCommunication.commands,ViewPersonalTariff,0,28,0,0,0,9,0,4,0,4
pp4-8,com.pplab4_8.mobileCommunication.commands,EditTariff,29,237,7,19,8,64,7,12,0,6
